Station ID,Station Name,Station Uncertainty (m)
04740,Stag Island,0.304
00475,Mill Cove,0.307
04780,Sand Head,0.373
00479,Blandford,0.288
04790,Ship Sands Island,0.324
00480,Hubbards,0.290
04800,Nicholson Creek,0.283
04810,Moosonee,0.287
00482,Boutiliers Point,0.290
00484,Indian Harbour,0.278
04840,Fort Albany,0.351
00485,Cliff Cove,0.230
00486,Prospect,0.290
00488,Sambro Harbour,0.266
04880,Bear Island,0.241
00490,Halifax,0.288
00491,Bedford Institute,0.306
04920,Winisk,0.276
00493,Chezzetcook Inlet,0.302
00495,Salmon River Bridge,0.339
00497,Little Harbour,0.314
04980,Port Nelson,0.350
00005,Seal Cove,0.277
00500,Murphys Cove,0.312
05010,Churchill,0.457
05040,Arviat,0.392
00505,Tomlee Bay,0.309
05055,Whale Cove,0.400
05070,Marble Island,0.351
00509,Spry Harbour,0.330
05090,Panorama Island,0.444
00510,Sheet Harbour,0.385
05100,Rankin Inlet,0.598
00511,Port Dufferin,0.326
00512,West Newdy Quoddy,0.315
00514,Ecum Secum,0.339
05140,Chesterfield Inlet,0.451
05141,Akreavenek Island,0.473
00515,Liscomb Harbour,0.322
05159,Norton Island,0.285
00516,Marie Joseph,0.343
05161,Schooner Cove,0.225
05180,Coral Harbour,0.347
05190,Cape Dobbs,0.598
05193,Paliak Islands,0.472
05195,Bennett Bay,0.489
00052,Five Fathom Hole,0.376
00520,Sonora,0.312
05200,Naujaat,0.553
00525,Sherbrooke,0.387
05275,Sanirajak,0.139
05295,Igloolik,0.251
00053,Musquash Harbour,0.381
00530,Port Bickerton,0.324
05310,Sevigny Point,0.252
05330,Purfur Cove,0.378
00535,Isaacs Harbour,0.336
05358,Needle Cove,0.277
00540,Larrys River,0.261
05430,Dundas Harbour,0.445
00545,Whitehead,0.315
05490,Rigby Bay,0.413
00055,Lorneville,0.368
00550,"Sable Island/Sable, ÃƒÅ½le de",0.220
05500,Radstock Bay,0.383
05510,Beechey Island,0.364
00555,Canso Harbour,0.249
05560,Resolute,0.300
05600,Cape Capel,0.358
05615,Hamilton Island,0.240
00563,Sand Point,0.259
05643,Natkusiak Peninsula,0.409
05645,Winter Harbour,0.344
05650,Peel Point,0.387
00570,Port Hastings,0.261
00575,Port Hawkesbury,0.312
00576,Point Tupper,0.251
05790,Koluktoo Bay,0.339
05791,Milne Inlet (head),0.337
05795,Pisiktarfik Island,0.350
00580,Arichat,0.300
05800,Pond Inlet,0.328
00582,Petit De Grat,0.303
00585,Cannes,0.228
05860,Strathcona Sound,0.527
05865,Arctic Bay,0.350
00587,St Peters Bay,0.313
05906,Whaler Point,0.389
05912,Port Bowen,0.361
05917,Bellot Strait East,0.385
05918,Fury Point,0.414
05930,Fort Ross,0.384
05935,Cape Kater,0.372
05940,Cape Augherston,0.453
05948,Lavoie Islands,0.388
00595,Fourchu,0.215
05960,Martin Islands,0.441
05970,Crown Prince Frederik Island,0.288
05975,Cape Chapman,0.421
05976,Cape Berens,0.432
05978,Cape Miles,0.333
05985,Kugaaruk,0.428
05990,Cape Sibbald,0.357
05992,Cape Barclay,0.433
05998,Dease Peninsula,0.481
00060,Partridge Island,0.362
00600,Louisbourg,0.285
00610,Sydney,0.280
06100,False Strait,0.430
00612,North Sydney,0.243
06140,Cape Felix,0.393
06144,Oscar Bay,0.339
06150,Taloyoak,0.142
06160,Shepherd Bay,0.240
06170,Gjoa Haven,0.155
00620,Big Bras D'Or,0.155
00621,Table Head,0.208
06210,Gladman Point,0.207
06213,Island NE of M'Clintock Point,0.378
00622,Duffus Point,0.176
06225,Jenny Lind Island,0.194
00623,Black Rock Point,0.208
00624,Penny Lane,0.285
06240,Cambridge Bay,0.233
06284,Austin Bay,0.123
06290,Kugluktuk,0.154
00630,Ingonish Beach,0.235
06310,Bernard Harbour,0.212
06338,Tysoe Point,0.255
06340,Pearce Point,0.198
00635,Neils Harbour,0.197
06350,Paulatuk,0.247
06360,Cape Parry,0.199
06367,Franklin Bay,0.234
00638,Dingwall,0.225
06380,Ulukhaktok,0.222
00640,Baddeck,0.145
06424,Sachs Harbour,0.151
06443,Baillie Is. (South Spit),0.220
06457,Krubluyak Point,0.529
06472,Cape Dalhousie,0.424
06476,Atkinson Point,0.356
06485,Tuktoyaktuk,0.380
06495,Hooper Island,0.237
06497,Pelly Island,0.149
00065,Saint John,0.367
06505,Shingle Point,0.406
06515,Kay Point,0.393
06525,Herschel Island,0.397
00653,Johnstown,0.107
00654,Eskasoni,0.137
00655,Iona,0.118
00656,Dundee,0.146
06560,Cape Skogn,0.501
06570,Grise Fiord,0.504
06580,Bay of Woe,0.442
00663,Grand Bay,0.192
06640,Eureka,0.100
00665,Port aux Basques,0.339
00666,Isle Aux Morts,0.309
06660,Iceberg Point,0.196
06670,Greely Fiord,0.142
00668,Rose Blanche,0.320
00670,La Poile (Little Bay),0.429
00671,Grand Bruit,0.324
00672,Couteau Bay,0.313
06730,Disreali Fiord,0.269
06735,Cape Aldrich,0.086
06765,Airstrip Point,0.274
00677,Short Reach,0.337
06780,Northumberland Sound,0.145
06787,Cameron Island,0.193
00679,Ramea Island,0.297
00683,Francois,0.277
00688,Mccallum,0.291
00690,Pushthrough,0.332
06910,Isachsen,0.157
06955,Mould Bay,0.190
00007,Gannet Rock,0.292
07024,Sooke Basin,0.175
07030,Becher Bay,0.185
00705,St Albans,0.372
00708,Gaultois,0.302
07080,Pedder Bay,0.173
07082,William Head,0.177
00710,Hermitage,0.355
07109,Esquimalt Harbour,0.175
07110,Esquimalt Government  Hbr.,0.178
07115,Clover Point,0.178
07120,Victoria Harbour,0.178
07121,Selkirk Water,0.200
07122,Gorge at Aaron Point,0.199
07123,Gorge at Tillicum,0.098
07124,Gorge at Craigflower,0.097
07125,Portage Inlet,0.094
